chatbot,country,pol_leaning,mean_x,mean_y,count,delta_x,delta_y,language
gpt,CH,,-6.916666666666667,-6.256666666666667,3,-0.19180180180180262,0.10171171171171167,english
gpt,CO,,-6.626666666666666,-6.07,3,0.0981981981981983,0.2883783783783782,english
gpt,GT,,-6.75,-6.41,1,-0.025135135135135656,-0.05162162162162165,english
gpt,IN,,-6.1899999999999995,-6.205,2,0.5348648648648648,0.15337837837837842,english
gpt,KE,,-6.0,-6.21,1,0.7248648648648643,0.14837837837837853,english
gpt,NG,,-6.25,-6.376666666666666,3,0.47486486486486434,-0.018288288288287546,english
gpt,NL,,-6.9399999999999995,-6.5649999999999995,2,-0.21513513513513516,-0.206621621621621,english
gpt,NZ,,-6.88,-6.359999999999999,2,-0.15513513513513555,-0.001621621621620939,english
gpt,PG,,-6.25,-6.31,1,0.47486486486486434,0.04837837837837888,english
gpt,RS,,-6.625,-6.41,2,0.09986486486486434,-0.05162162162162165,english
gpt,SG,,-7.169999999999999,-6.41,3,-0.4451351351351347,-0.05162162162162165,english
gpt,US,,-7.083333333333333,-6.666666666666667,3,-0.3584684684684687,-0.30828828828828847,english
gpt,VN,,-7.005,-6.335,2,-0.28013513513513555,0.023378378378378528,english
gpt,AE,,-8.003333333333334,-6.38,3,-0.7335897435897447,0.30153846153846153,french
gpt,BR,,-6.419999999999999,-6.3933333333333335,3,0.8497435897435901,0.2882051282051279,french
gpt,BZ,,-7.63,-6.15,1,-0.36025641025641075,0.5315384615384611,french
gpt,CA,,-7.336666666666666,-6.8566666666666665,3,-0.06692307692307686,-0.17512820512820504,french
